epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3317.46,0.24972,0.34401,0.7345,0.99673,0.9375,0.935,0.935,0.22316,0.45468,0.75424,0.000169908,0.000169908,0.000169908
91,3353.69,0.22907,0.29413,0.75278,0.99673,0.9375,0.935,0.935,0.21362,0.47218,0.75615,0.000155761,0.000155761,0.000155761
92,3388.14,0.22691,0.29466,0.77906,0.99681,0.9375,0.935,0.935,0.21933,0.47538,0.75487,0.000141614,0.000141614,0.000141614
93,3423.23,0.22123,0.29879,0.7418,0.99686,0.9375,0.935,0.935,0.22243,0.47235,0.75497,0.000127467,0.000127467,0.000127467
94,3458.3,0.2146,0.32693,0.69773,0.99691,0.9375,0.935,0.935,0.21716,0.43596,0.75188,0.00011332,0.00011332,0.00011332
95,3493.23,0.20368,0.28486,0.77123,0.9969,0.9375,0.935,0.935,0.20976,0.42893,0.75067,9.91726e-05,9.91726e-05,9.91726e-05
96,3528.39,0.21163,0.33689,0.70281,0.99682,0.9375,0.935,0.935,0.20928,0.42298,0.75101,8.50255e-05,8.50255e-05,8.50255e-05
97,3563.66,0.20385,0.30229,0.69987,0.99683,0.9375,0.935,0.935,0.20988,0.42017,0.75113,7.08784e-05,7.08784e-05,7.08784e-05
98,3598.86,0.19444,0.30099,0.71125,0.99678,0.9375,0.935,0.935,0.21145,0.4207,0.75113,5.67313e-05,5.67313e-05,5.67313e-05
99,3634,0.21738,0.27879,0.77101,0.99681,0.9375,0.935,0.935,0.21208,0.42765,0.75138,4.25842e-05,4.25842e-05,4.25842e-05
100,3669.12,0.18995,0.30385,0.69788,0.99675,0.9375,0.935,0.935,0.20846,0.42047,0.75155,2.84371e-05,2.84371e-05,2.84371e-05
